Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
"Highstreet, Alden & Janet","15503 Avenue 240, Tulare, CA 93274-9331",Highstreet Dairy,"15503 Avenue 240, Tulare, CA 93274",36.224996,-119.226476,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545141001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2100,Mature dairy cattle,null,0,0,NA
"Hilarides, Frank dba L & F Properties LP","5460 Dover Street, Chino, CA 91710-1972",Cream Top Dairy,"13075 Avenue 200, Tulare, CA 93274",36.15261,-119.27891,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00125,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1342,Mature dairy cattle,null,0,0,NA
"Hilarides, Larry","13255 Avenue 212, Tulare, CA 93274",Triple H Dairy #1,"13255 Avenue 212, Tulare, CA 93274",36.172344,-119.27538,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545002001,null,null,06/29/2007,null,10/02/2018,0,null,B,1,1986,Mature dairy cattle,null,0,0,NA
"Hilarides, Robert & Sharon dba Sierra Cattle Co","24920 Road 164, Visalia, CA 93292",Hilarides Dairy,"24163 ROAD 188, Lindsay, CA 93221",36.227866,-119.15809,Animal Feeding Facility,0241,Tulare,5F,"ANIWSTCOWS, LFNONOPER",Active,Enrollee - WDR,R5-2013-0122,5D545163001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,8008,Mature dairy cattle,null,1,2,NA
"Hilarides, Ronald","4125 Bentley Road, Oakdale, CA 95361",Cross A Dairy,"4125 Bentley Road, Oakdale, CA 95361",37.698515,-120.866568,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C505024001,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,1900,Mature dairy cattle,null,0,0,NA
Hillside Farms,"Po Box 1468, Atwater, CA 95301",Hillside Farms,"2669 Hull Road, Atwater, CA 95301",37.32643,-120.62379,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00024,null,null,06/29/2007,null,10/02/2018,null,null,A,1,80,Mature dairy cattle,null,2,0,NA
"Hirdes, Marilyn","3024 South Blaker Road, Turlock, CA 95380",2407 S Blaker Road Facility,"2407 South Blaker Road, Turlock, CA 95380",37.46919,-120.96956,Animal Feeding Facility,null,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50UK00003,null,null,10/15/2021,null,10/14/2026,null,null,A,1,38,Cattle or cow/calf pairs,17,0,0,NA
"Hoekstra, Edward","1901 North Hayden Road, Le Grand, CA 95333",Hillcrest Dairy,"1901 North Hayden Road, Le Grand, CA 95322",37.31462,-120.3065,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C245026001,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,4750,Mature dairy cattle,null,1,1,NA
"Hoekstra, Jack","10836 Hwy 120, Oakdale, CA 95361",Hoekstra Dairy,"10836 Hwy 120, Oakdale, CA 95361",37.77269,-120.79514,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00188,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1285,Mature dairy cattle,null,0,0,NA
"Hofman, Garrit","4820 East Perrin Road, Manteca, CA 95337",Gerrit Hofman Dairy,"4820 East Perrin Road, Manteca, CA 95337",37.71975,-121.24754,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00127,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1120,Mature dairy cattle,null,0,0,NA
Holgersen Dairy,"5231 Tompkins Hill Road, Loleta, CA 95551",Holgersen Dairy (Holgieville Jerseys),"5231 Tompkins Hill Road, Loleta, CA 95551",40.668628,-124.196261,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B00201DHUM,null,null,01/27/2020,null,11/30/2029,null,null,null,null,148,Mature dairy cattle,null,0,0,NA
"Hollander, Helen","2152 Finney Road, Modesto, CA 95358",Hollander Farms,"2132 Finney Road, Modesto, CA 95358",37.66781,-121.08422,Animal Feeding Facility,null,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B50NC00423,null,null,08/31/2018,null,12/05/2021,null,null,null,null,6000,Non-layers (other than liquid manure system),9,1,0,NA
Homeland Cattle LLC,"Po Box 398, Corcoran, CA 93212",Homeland Cattle LLC,"36409 6th Avenue, Kettleman City, CA 93239",35.94551,-119.56202,Animal Feeding Facility,0211,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C16NC00173,null,null,02/15/2019,null,02/15/2024,null,null,null,null,960,Heifers (non dairy affiliated),1911,0,0,NA
"Homen, Jose","2510 West Turlock Road, Snelling, CA 95369",Homen Dairy Farms LP,"5511 West Sandy Mush Road, Merced, CA 95340",37.1822,-120.59604,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00243,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2400,Mature dairy cattle,null,0,0,NA
Hoogendam Dairy,"1650 Mcnamara Road, Merced, CA 95340",Hoogendam Dairy,"1650 McNamara Road, Merced, CA 95341",37.23152,-120.45631,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00232,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2530,Mature dairy cattle,null,0,0,NA
"Hooker, Greg","9730 Avenue 18 1/2, Chowchilla, CA 93610",Diamond H Dairy,"9564 Avenue 18 1/2, Chowchilla, CA 93610",37.016033,-120.372813,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2010-0130,5B20NC00018,null,null,02/06/2019,null,02/05/2024,null,null,null,null,5737,Mature dairy cattle,null,0,0,NA
"Hoy, Peter","6042 California Avenue, Modesto, CA 95358","Peder Hoy Dairy, Inc.","6000 California Avenue, Modesto, CA 95358",37.62351751,-121.1037005,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00095,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,0,NA
"Huff, Eric","9579 Hultberg Road, Hilmar, CA 95324",B & D Dairy,"9579 Hultberg Road, Hilmar, CA 95324",37.42649,-120.89554,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00139,null,null,06/29/2007,null,10/02/2018,null,null,A,1,150,Heifers (non dairy affiliated),null,0,0,NA
Hughes Dairy,"16001 Bodega Highway, Bodega, CA 94922",Richard Hughes Dairy,"16001 Bodega Highway, Bodega, CA 94922",38.352006,-122.951474,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11135DSON,null,null,01/30/2020,null,08/14/2029,null,null,null,null,199,Mature dairy cattle,null,0,0,NA
"Hultgren, John & Suzy","8244 West Palm Avenue, Winton, CA 95388",Hultgren Dairy,"8878 West Palm Avenue, Winton, CA 95388",37.41837,-120.62191,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00297,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,1,0,NA
"Idsinga, Bill","4595 Houston Avenue, Hanford, CA 93230",Bill Idsinga Dairy,"4595 Houston Avenue, Hanford, CA 93230",36.298459,-119.539847,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00082,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1210,Mature dairy cattle,null,0,0,NA
Ielmorini Dairy,"P.O. Box 758 Road, Nicasio, CA 94946",Doug Ielmorini Dairy,"5720 Nicasio Valley Road, Nicasio, CA 94946",38.088597,-122.727081,Animal Feeding Facility,null,Marin,2,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,r2-2016-0031,D-21-0033,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,220,Mature dairy cattle,null,0,0,NA
Ielmorini Moody Dairy,null,Ielmorini Moody Ranch,"1001 Middle Road, Tomales, CA 94971",38.3165,-122.912786,Animal Feeding Facility,11212,Marin,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11136DMAR,null,null,02/27/2020,null,08/14/2029,null,null,null,null,340,Mature dairy cattle,null,0,0,NA
"Iest, Danny","16500 Avenue 14, Madera, CA 93637",TRI-Iest Dairy,"16500 Avenue 14, Madera, CA 93637",36.95159111,-120.2463433,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C205022N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,5260,Mature dairy cattle,null,0,0,NA
"Iest, Richard C","14576 Avenue 14, Madera, CA 93637",Iest Family Farms Dairy,"14576 Avenue 14, Madera, CA 93637",36.950426,-120.280197,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B20NC00046,null,null,06/29/2007,null,10/02/2018,null,null,A,1,5003,Mature dairy cattle,null,0,0,NA
"Inderbitzen, Thomas L","1630 South Hart Road, Modesto, CA 95358",Inderbitzen Farms,"6930 Paradise Road, Modesto, CA 95358",37.60502,-121.1211,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00148,null,null,06/29/2007,null,10/02/2018,null,null,A,1,639,Mature dairy cattle,null,0,0,NA
Infinity Dairy,"Po Box 698, Ferndale, CA 95536",Infinity Dairy,"869 Riverside Road, Ferndale, CA 95536",40.5975,-124.29015,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12029DHUM,null,null,03/02/2020,null,11/30/2029,null,null,null,null,290,Mature dairy cattle,null,0,0,NA
Irene or Paul Nunes,"18675 Road 32, Tulare, CA 93274",Adriano Nunes & Son Dairy Farming,"18675 Road 32, Tulare, CA 93274",36.12862,-119.50301,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00199,null,null,06/29/2007,null,10/02/2018,null,null,A,1,970,Mature dairy cattle,null,0,0,NA
Island Dairy Inc,"8937 West Grayson Road, Modesto, CA 95358",Island Dairy,"8937 West Grayson Road, Modesto, CA 95358",37.56548,-121.16849,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00116,null,null,06/29/2007,null,10/02/2018,null,null,A,1,598,Mature dairy cattle,null,1,2,NA
J & D WIlson,"11720 West Mount Whitney Avenue, Riverdale, CA 93656",J&D Wilson Dairy #2,"23535 Grangeville Boulevard, Lemoore, CA 93245",36.343515,-119.878994,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165097N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,1492,Mature dairy cattle,null,0,0,NA
J & D WIlson,"11720 West Mount Whitney Avenue, Riverdale, CA 93656",King Avenue Feedlot,"18741 19th Avenue, Stratford, CA 93266",36.203092,-119.797529,Animal Feeding Facility,0211,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C54AP00003,null,null,02/15/2019,null,02/15/2024,null,null,null,null,800,Cattle or cow/calf pairs,324,0,0,NA
J & T Kisst 2009 Irrevocable Trust,"Po Box 812, Ripon, CA 95366-0721",Paradise Dairy,"20967 Paradise Road, Tracy, CA 95304",37.75603,-121.3895,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00142,null,null,06/29/2007,null,10/02/2018,null,null,A,1,660,Mature dairy cattle,null,0,0,NA
J & Y Jimenez Dairy,"11159 Peach Avenue, Livingston, CA 95334",J & Y Jimenez Dairy,"11159 West Peach Street, Livingston, CA 95334",37.372,-120.68876,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00173,null,06/29/2007,06/29/2007,null,10/02/2018,null,null,A,1,680,Mature dairy cattle,null,1,0,NA
"J Troost Dairy, LP","24662 Road 9, Chowchilla, CA 93610",Troost Dairy,"27000 Road 9, Chowchilla, CA 93610",37.10889556,-120.3896269,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C205023N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2850,Mature dairy cattle,null,1,1,NA
JE Coleman dba Warnerville Ranch LLC,"Po Box 1130, Modesto, CA 95353",Warnerville Ranch Complex,"20601 Warnerville Road, Waterford, CA 95386",37.72956,-120.62195,Animal Feeding Facility,0253,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B50NC00378,null,null,07/10/2018,null,12/05/2021,null,null,null,null,202529,Turkeys,3851,1,0,NA
"JG Weststeyn Dairy, LP","5745 County Road 65, Willows, CA 95988",JG Weststeyn Dairy,"5747 County Rd 65, Willows, CA 95988",39.434,-122.271,Animal Feeding Facility,0241,Glenn,5S,ANIWSTCOWS,Active,WDR,R5-2009-0082,5A11NC00055,null,08/13/2009,08/13/2009,null,08/12/2014,null,null,A,1,0,Mature dairy cattle,null,4,3,NA
JJ's Family Dairy,"949 Chileno Valley Road, Petaluma, CA 94952",JJ's Family Dairy,"4669 Chilino Valley Rd., Petaluma, CA",null,null,Animal Feeding Facility,null,Sonoma,2,ANIWSTCOWS,Active,Enrollee - WDR,r2-2016-0031,2 CAF-49-001,null,null,07/25/2019,null,null,null,null,null,null,220,Mature dairy cattle,null,0,0,NA
JLT Ranch,"601 Stage Gulch Road, Petaluma, CA 94952",JLT Ranch,"601 Stage Gulch Road, Petaluma, CA 94952",38.23362,-122.53718,Animal Feeding Facility,null,Sonoma,2,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,r2-2016-0031,D-49-0019,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,350,Mature dairy cattle,null,0,0,NA
JR Dairy John & Margie Roeloffs,"13508 Road 104, Tipton, CA 93272",J R Dairy,"13202 Road 104, Tipton, CA 93272",36.03221,-119.3358,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545042002,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3400,Mature dairy cattle,null,0,0,NA
JS West Milling Company,"501 9th Street, Modesto, CA 95354",JS West - Dwight Bell Ranch,"4241 Dwight Way, Atwater, CA 95301",37.34944,-120.70563,Animal Feeding Facility,0252,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B24NC00343,null,null,07/30/2018,null,12/05/2021,null,null,null,null,889008,null,3027,0,0,NA
JS West Milling Company,"501 9th Street, Modesto, CA 95354",JS West - Milton Ranch,"18660 Milton Road, Farmington, CA 95230",37.90966,-120.84381,Animal Feeding Facility,0252,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B50NC00334,null,null,07/20/2018,null,12/05/2021,null,null,null,null,269451,null,647,0,0,NA
JS West Milling Company,"501 9th Street, Modesto, CA 95354",JS West - Hilmar Ranch,"7406 Griffith Avenue, Hilmar, CA 95324",37.39534,-120.81339,Animal Feeding Facility,0252,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B24NC00352,null,null,07/30/2018,null,12/05/2021,null,null,null,null,893592,Layers (other than liquid manure system),3574,0,0,NA
"Jack Dei, Sr.","Po Box 1515, Sebastopol, CA 95472",Jack Dei Dairy,"831 High School Road, Sebastopol, CA 95472",38.411843,-122.824627,Animal Feeding Facility,0241,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B04096DSON,null,null,05/04/2020,null,11/30/2029,null,null,null,null,175,Mature dairy cattle,null,0,0,NA
Jack de Jong,"6127 Jackson Avenue, Hanford, CA 93230",Dream Dairy,"15035 8th Avenue, Hanford, CA 93230",36.253162,-119.599953,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165078001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,425,Mature dairy cattle,null,0,0,NA
Jacob & Dorothy Hamstra Trust,"7347 Avenue 260, Tulare, CA 93274",Hamstra Dairy Complex,"7590 Avenue 260, Tulare, CA 93274",36.26349,-119.40582,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545043002,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3967,Mature dairy cattle,null,0,0,NA
Jacob or Adam te Velde,"2911 Hanford Armona Road, Hanford, CA 93230",Sierra Blanca Ranch #2,"15010 5th Avenue, Hanford, CA 93230",36.245819,-119.547271,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00099,null,null,06/29/2007,null,10/02/2018,null,null,A,1,250,Heifers (non dairy affiliated),null,1,1,NA
Jacob or Adam te Velde,"2911 Hanford Armona Road, Hanford, CA 93230",Sierra Blanca Ranch,"15673 5 1/2 Avenue, Hanford, CA 93230",36.244995,-119.555511,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00019,null,null,06/29/2007,null,10/02/2018,null,null,null,null,3925,Mature dairy cattle,null,0,1,NA
Jake and Janie De Raadt,null,Eden-Vale Dairy,"6944 21 1/2 Avenue, Lemoore, CA 93245",36.374991,-119.842805,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165071N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,1040,Mature dairy cattle,null,1,3,NA
"James J. Stevinson, A Corp.","Po Box 818, Newman, CA 95360",Anchor J Dairy,"24507 First Avenue, Stevinson, CA 95374",37.33732,-120.93195,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00265,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3000,Mature dairy cattle,null,0,0,NA
"James J. Stevinson, A Corp.","Po Box 818, Newman, CA 95360",Hawkins Ranch,"5301 North De Angelis Road, Stevinson, CA 95374",37.36459,-120.93076,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00333,null,null,06/29/2007,null,10/02/2018,null,null,A,1,315,Mature dairy cattle,null,0,0,NA
"Jaques, John","10536 6th Avenue, Hanford, CA 93230",Jaques & Silva Dairy,"10256 6th Avenue, Hanford, CA 93230",36.327649,-119.571025,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00075,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1440,Mature dairy cattle,null,0,0,NA
Jared Fragoso,"7871 Houston Avenue, Hanford, CA 93230",JL Fragoso Cattle Company,"7871 Houston Avenue, Hanford, CA 93230",36.29794,-119.59917,Animal Feeding Facility,null,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C16NC00194,null,null,02/15/2019,null,02/15/2024,null,null,null,null,450,Calf feedlots,238,0,1,NA
"Jarvis, Don","Po Box 577980, Modesto, CA 95357",Sierra Ranches,"1412 Albers Road, Modesto, CA 95357",37.66263,-120.8433,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00083,null,null,06/29/2007,null,10/02/2018,null,null,A,1,200,Heifers (non dairy affiliated),null,0,0,NA
Jason & Julie Starr,"5978 Avenue 184, Tulare, CA 93274",Jason & Julie Starr,"18039 Lakeview Avenue, Stratford, CA 93266",36.17288,-119.78426,Animal Feeding Facility,0211,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C16NC00178,null,null,02/15/2019,null,02/15/2024,null,null,null,null,20,Calf feedlots,630,0,1,NA
Jason Slegers,"2733 Cottonwood Avenue, San Jacinto, CA 92582",Chino Valley Dairy #3,"32920 Ramona Expressway, Nuevo, CA 92567",33.84181,-117.09046,Animal Feeding Facility,0241,Riverside,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 335718001,CAG018001,null,07/17/2018,null,03/15/2024,null,null,null,null,1600,Mature dairy cattle,null,0,0,NA
Jason and Ondria Mello,"9635 16th Avenue, Hanford, CA 93230",Mello D Jerseys,"14803 Grangeville Boulevard, Hanford, CA 93230",36.342606,-119.725596,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00071,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1000,Mature dairy cattle,null,1,1,NA
Jean P & Deanna A Petrissan Family Trust,"5159 Bear Mountain Boulevard, Bakersfield, CA 93313",Petrissans Dairy,"5111 Bear Mountain Boulevard, Bakersfield, CA 93313",35.207614,-119.057992,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D155060001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,1832,Mature dairy cattle,null,1,5,NA
Jerald Joseph Nunes,"690 East Oakdale Avenue, Tulare, CA 93274",F & F Heifers,"25897 Road 108, Tulare, CA 93274",36.26011,-119.33351,Animal Feeding Facility,0211,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C54NC00371,null,null,02/15/2019,null,02/15/2024,null,null,null,null,3000,Heifers (non dairy affiliated),3100,0,1,NA
Jerald OR JJ Nunes,"690 East Oakdale Avenue, Tulare, CA 93274",Nunes & Sons Dairy Inc.,"26946 Road 108, Visalia, CA 93291",36.27905,-119.33039,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00188,null,null,06/29/2007,null,10/02/2018,null,null,A,1,765,Mature dairy cattle,null,0,1,NA
Jesse & James Jongsma,"P.O. Box J, Pixley, CA 93256",Jesse & James Jongsma Dairy,"6780 Avenue 144, Tipton, CA 93272",36.05373,-119.41888,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00077,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1600,Mature dairy cattle,null,0,0,NA
Jim Orvis and Sons,"9006 East Hwy 4, Farmington, CA 95320",SN 1 & 2,"10401 Hwy 4, Farmington, CA 95230",37.93739,-120.80875,Animal Feeding Facility,0253,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B50NC00333,null,null,07/20/2018,null,12/05/2021,null,null,null,null,100823,Turkeys,1512,0,0,NA
Jim Riebli Dairy,"295 Rainsville Road, Petaluma, CA 94952",Jim Riebli Dairy,"295 Rainsville Road, Petaluma, CA 94952",38.270502,-122.680564,Animal Feeding Facility,null,Sonoma,2,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,r2-2016-0031,D-49-0036,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,190,Mature dairy cattle,null,0,0,NA
Jim Walker Dairy,"5 Rafaelli Avenue, Ferndale, CA 95536",Jim Walker Dairy,"Waddington Road, Ferndale, CA 95536",40.577187,-124.199501,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11115DHUM,null,null,01/28/2020,null,11/30/2029,null,null,null,null,550,Mature dairy cattle,null,0,0,NA
Jim Wilson,"11720 West Mount Whitney Avenue, Riverdale, CA 93656",15th Avenue Feedlot,"10522 15th Avenue, Hanford, CA 93230",36.34176,-119.723006,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D16517N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,200,Heifers (non dairy affiliated),null,0,0,NA
Jim Wilson,"11720 West Mount Whitney Avenue, Riverdale, CA 93656",Jersey Avenue Feedlot,"19256 Jersey Avenue, Lemoore, CA 93245",36.2411,-119.80525,Animal Feeding Facility,null,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2017-0058,5C16NC00202,null,null,12/17/2019,null,12/17/2024,null,null,null,null,30,Finishing Yards/Auction Yards,438,0,1,NA
Jimi Valov,"18275 Road 28, Tulare, CA 93274",Teunissen Ranch #2,"18943 Road 32 Road, Tulare, CA 93274",36.13233,-119.50092,Animal Feeding Facility,0241,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5D545035N01,null,null,02/15/2019,null,02/15/2024,null,null,null,null,3500,Calf feedlots,1225,1,1,NA
Jimi Valov Family Trust,"2865 West Prosperity Avenue, Tulare, CA 93274",Valov Brothers Farm LP,"2865 West Prosperity Avenue, Tulare, CA 93274",36.225223,-119.385573,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00191,null,null,06/29/2007,null,10/02/2018,null,null,A,1,56,Heifers (non dairy affiliated),null,1,1,NA
Joe A. and Virginia Pedro Trust,"26946 Road 108, Visalia, CA 93618",Nunes & Sons Dairy Inc.,"26946 Road 108, Visalia, CA 93291",36.27905,-119.33039,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00188,null,null,06/29/2007,null,10/02/2018,null,null,A,1,765,Mature dairy cattle,null,0,1,NA
Joe Borba Dairy Inc,"3431 South Moffett Road, Turlock, CA 95380","Joe Borba Dairy, Inc.","3431 South Moffett Road, Turlock, CA 95380",37.45977,-120.95136,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00262,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,1,0,NA
Joe Coelho Dairy,"Po Box 3640, Turlock, CA 95381",Double Cross #2,"18637 East Bradbury Road, Turlock, CA 95380",37.44886,-120.82427,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00277,null,null,06/29/2007,null,10/02/2018,null,null,A,1,637,Mature dairy cattle,null,0,0,NA
Joe DaSilva,"Po Box 248, Escalon, CA 95320",DS Farms LP,"24567 East Lone Tree Road, Escalon, CA 95320",37.827729,-121.008018,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B395041001,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,834,Mature dairy cattle,null,0,0,NA
