facility_name,facility_address,latitude,longitude,county,cafo_population,cafo_subtype,type,milking,other,total,enteric_methane,manure_methane,total_methane,project_id_number,sub_program_name,project_life_years,date_operational,annual_project_ghg_reductions,adjusted_manure_methane,adjusted_total_methane,labeltext,mitigation
Foster Feed Yard,"3403 Casey Road, Brawley, CA 92227",32.902118,-115.423403,Imperial,14096,Cattle or cow/calf pairs,Other,0,14096,14096,902.144,28.192,930,,,,,,28.192,930,<b>Name: </b>Foster Feed Yard</br><b>Type: </b>Other</br><b>Methane emissions: </b>930 metric tons,—
Foster Feed Yard — Keystone,"1350 East Keystone Road, Brawley, CA 92227",32.902118,-115.423403,Imperial,14000,Cattle or cow/calf pairs,Other,0,14000,14000,896,28,924,,,,,,28,924,<b>Name: </b>Foster Feed Yard — Keystone</br><b>Type: </b>Other</br><b>Methane emissions: </b>924 metric tons,—
Four J Farms Dairy,"1223 West Stanford Avenue, Pixley, CA 93256",35.99261,-119.30528,Tulare,2745,Mature dairy cattle,Dairy,2745,3002,5747,570.938,192.664,764,,,,,,192.664,764,<b>Name: </b>Four J Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>764 metric tons,—
Jersey Creek Dairy,"14857 5th Avenue, Hanford, CA 93230",36.256996,-119.54711,Kings,675,Mature dairy cattle,Dairy,675,738,1413,140.382,45.351,186,,,,,,45.351,186,<b>Name: </b>Jersey Creek Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>186 metric tons,—
Frank C. Lawrence Dairy,"28476 Road 52, Visalia, CA 93277",36.30603,-119.45411,Tulare,1090,Mature dairy cattle,Dairy,1090,1192,2282,226.70799999999997,73.234,300,,,,,,73.234,300,<b>Name: </b>Frank C. Lawrence Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>300 metric tons,—
Golden Star Dairy,"4109 East Conejo Avenue, Selma, CA 93662",36.517779,-119.716476,Fresno,890,Mature dairy cattle,Dairy,890,973,1863,185.09199999999998,59.796,245,,,,,,59.796,245,<b>Name: </b>Golden Star Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>245 metric tons,—
Frank J Bettencourt & Sons Dairy,"8331 Central Avenue, Ceres, CA 95307",37.51667976,-120.9586627,Stanislaus,670,Mature dairy cattle,Dairy,670,733,1403,139.37199999999999,45.016,184,,,,,,45.016,184,<b>Name: </b>Frank J Bettencourt & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>184 metric tons,—
Cattlemen's Livestock Market,"12495 East Stockton Boulevard, Galt, CA 95632",38.30428,-121.31687,Sacramento,1145,Finishing Yards/Auction Yards,Other,0,1145,1145,73.28,2.29,76,,,,,,2.29,76,<b>Name: </b>Cattlemen's Livestock Market</br><b>Type: </b>Other</br><b>Methane emissions: </b>76 metric tons,—
Frank S. Brown Co. Dairy,"22045 South Valentine Avenue, Riverdale, CA 93656",36.415019,-119.863148,Fresno,1700,Mature dairy cattle,Dairy,1700,1859,3559,353.576,119.318,473,,,,,,119.318,473,<b>Name: </b>Frank S. Brown Co. Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>473 metric tons,—
Frank Souza Dairy — Euclid,"16185 Euclid Avenue, Chino, CA 91710",33.958315,-117.650534,San Bernardino,2100,Calf feedlots,Other,0,2100,2100,134.4,4.2,139,,,,,,4.2,139,<b>Name: </b>Frank Souza Dairy — Euclid</br><b>Type: </b>Other</br><b>Methane emissions: </b>139 metric tons,—
Souza Dairy,"16221 Euclid Avenue, Chino, CA",33.957784,-117.650531,San Bernardino,430,Mature dairy cattle,Dairy,430,470,900,89.42,32.76,122,,,,,,32.76,122,<b>Name: </b>Souza Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>122 metric tons,—
Zephyr Dairy,"7360 Pine Avenue, Chino, CA 91708",33.955588,-117.642027,San Bernardino,680,Heifers (non dairy affiliated),Other,0,680,680,43.52,1.36,45,,,,,,1.36,45,<b>Name: </b>Zephyr Dairy</br><b>Type: </b>Other</br><b>Methane emissions: </b>45 metric tons,—
Frank Teicheira & Son Dairy,"27527 South Airport Way, Manteca, CA 95337",37.70661,-121.24573,San Joaquin,685,Mature dairy cattle,Dairy,685,749,1434,142.466,50.132999999999996,193,,,,,,50.132999999999996,193,<b>Name: </b>Frank Teicheira & Son Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>193 metric tons,—
Tipton Dairy,"196 Olive Avenue, Tipton, CA 93272",36.06646,-119.31138,Tulare,615,Mature dairy cattle,Dairy,615,673,1288,127.94200000000001,43.166,171,,,,,,43.166,171,<b>Name: </b>Tipton Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>171 metric tons,—
Frea Dairy LLC,"6205 South Brawley Avenue, Fresno, CA 93706",36.64566333,-119.86233,Fresno,310,Mature dairy cattle,Dairy,310,339,649,64.476,16.769,81,,,,,,16.769,81,<b>Name: </b>Frea Dairy LLC</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>81 metric tons,—
South Corner Dairy,"8150 Avenue 360, Visalia, CA 93291",36.44588,-119.38953,Tulare,2432,Mature dairy cattle,Dairy,2432,2660,5092,505.856,163.4,669,,,,,,163.4,669,<b>Name: </b>South Corner Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>669 metric tons,—
Frings Ranch #2,"7023 Avenue 216, Tulare, CA 93265",36.17706,-119.417447,Tulare,12500,Calf feedlots,Other,0,12500,12500,800,25,825,,,,,,25,825,<b>Name: </b>Frings Ranch #2</br><b>Type: </b>Other</br><b>Methane emissions: </b>825 metric tons,—
Frings Ranch,"14998 Avenue 192, Tulare, CA 93274",36.14257,-119.24005,Tulare,13000,Calf feedlots,Other,0,13000,13000,832,26,858,,,,,,26,858,<b>Name: </b>Frings Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>858 metric tons,—
Furtado Farms Inc.,"3449 Paradise Road, Modesto, CA 95358",37.60933936,-121.056558,Stanislaus,260,Heifers (non dairy affiliated),Other,0,260,260,16.64,0.52,17,,,,,,0.52,17,<b>Name: </b>Furtado Farms Inc.</br><b>Type: </b>Other</br><b>Methane emissions: </b>17 metric tons,—
Furtado Dairy #1,"5507 Ellenwood Road, Oakdale, CA 95361",37.71862865,-120.7748456,Stanislaus,190,Mature dairy cattle,Dairy,190,208,398,39.532,12.766,52,,,,,,12.766,52,<b>Name: </b>Furtado Dairy #1</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>52 metric tons,—
Nunes & Sons Dairy,"690 East Oakdale Avenue, Tulare, CA 93274",36.254948,-119.33802,Tulare,2113,Mature dairy cattle,Dairy,2113,2311,4424,439.498,141.96699999999998,581,,,,,,141.96699999999998,581,<b>Name: </b>Nunes & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>581 metric tons,—
"GJC Dairy, Inc.","2401 Newman Road, Turlock, CA 95380",37.47041,-120.9277,Stanislaus,635,Mature dairy cattle,Dairy,635,694,1329,132.046,42.663,175,,,,,,42.663,175,"<b>Name: </b>GJC Dairy, Inc.</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>175 metric tons",—
Gallo Cottonwood Dairy,"10561 West Hwy 140, Atwater, CA 95301",37.29072,-120.67423,Merced,3635,Mature dairy cattle,Dairy,3635,3975,7610,756.03,236.95499999999998,993,,,,,,236.95499999999998,993,<b>Name: </b>Gallo Cottonwood Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>993 metric tons,—
Antonio Garcia Dairy,"6571 Fargo Avenue, Hanford, CA 93274",36.356977,-119.574908,Kings,645,Mature dairy cattle,Dairy,645,705,1350,134.13,43.334999999999994,177,,,,,,43.334999999999994,177,<b>Name: </b>Antonio Garcia Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>177 metric tons,—
Hacienda Feedlot,"Di Giorgio Rd & General Beal Rd, Arvin, CA 93203",35.250578,-118.758369,Kern,245,Cattle or cow/calf pairs,Other,0,245,245,15.68,0.245,16,,,,,,0.245,16,<b>Name: </b>Hacienda Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>16 metric tons,—
Garcia's Registered Jerseys,"1018 Hickman Road, Turlock, CA 95380",37.50247,-120.75478,Stanislaus,1495,Mature dairy cattle,Dairy,1495,1635,3130,310.95,97.455,408,,,,,,97.455,408,<b>Name: </b>Garcia's Registered Jerseys</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>408 metric tons,—
Joe R. Garcia Dairy,"20677 East Street, Laton, CA 93242",36.433778,-119.780752,Fresno,1170,Mature dairy cattle,Dairy,1170,1280,2450,243.38,82.12,326,,,,,,82.12,326,<b>Name: </b>Joe R. Garcia Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>326 metric tons,—
Garcia & Sons Dairy,"15405 17th Avenue, Lemoore, CA 93245",36.248751,-119.762091,Kings,180,Mature dairy cattle,Dairy,180,197,377,37.448,12.094,50,,,,,,12.094,50,<b>Name: </b>Garcia & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>50 metric tons,—
Henry A Garcia Feedlot,"2946 West Tulare Avenue, Tulare, CA 93274",36.21139,-119.38746,Tulare,282,Heifers (non dairy affiliated),Other,0,282,282,18.048,0.564,19,,,,,,0.564,19,<b>Name: </b>Henry A Garcia Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>19 metric tons,—
L & L Pires Dairy,"7713 Maze Boulevard, Modesto, CA 95358",37.63792634,-121.1353398,Stanislaus,343,Mature dairy cattle,Dairy,343,375,718,71.334,23.045,94,,,,,,23.045,94,<b>Name: </b>L & L Pires Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>94 metric tons,—
Tony & Fatima Garcia Dairy,"6455 California Avenue, Modesto, CA 95358",37.62369454,-121.1124069,Stanislaus,782,Mature dairy cattle,Dairy,782,855,1637,162.636,52.54,215,,,,,,52.54,215,<b>Name: </b>Tony & Fatima Garcia Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>215 metric tons,—
Jer—Z— Boys Dairy #1,"11001 Ave 112, Pixley, CA 93256",35.99325,-119.32659,Tulare,3145,Mature dairy cattle,Dairy,3145,3439,6584,654.106,220.738,875,,,,,,220.738,875,<b>Name: </b>Jer—Z— Boys Dairy #1</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>875 metric tons,—
LegenDairy West,"8509 AVENUE 152, Tipton, CA 93272",36.06162,-119.38201,Tulare,2979,Mature dairy cattle,Dairy,2979,3258,6237,619.614,200.15099999999998,820,,,,,,200.15099999999998,820,<b>Name: </b>LegenDairy West</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>820 metric tons,—
LegenDairy South,"8360 Avenue 144, Tipton, CA 93272",36.05346,-119.38395,Tulare,2165,Mature dairy cattle,Dairy,2165,2368,4533,450.322,151.956,602,,,,,,151.956,602,<b>Name: </b>LegenDairy South</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>602 metric tons,—
Parreira Gaspar Dairy,"16087 Avenue 188, Strathmore, CA 93267",36.129864,-119.211792,Tulare,1318,Mature dairy cattle,Dairy,1318,1441,2759,274.108,92.506,367,,,,,,92.506,367,<b>Name: </b>Parreira Gaspar Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>367 metric tons,—
J & T Cattle Company,"27552 Lake Road, La Grange, CA 95329",37.61618,-120.49949,Stanislaus,11476,Cattle or cow/calf pairs,Other,0,11476,11476,734.464,22.952,757,,,,,,22.952,757,<b>Name: </b>J & T Cattle Company</br><b>Type: </b>Other</br><b>Methane emissions: </b>757 metric tons,—
Double G Dairy,"6555 Blue Gum Road, Modesto, CA 95358",37.6598239,-121.11430060000001,Stanislaus,1100,Mature dairy cattle,Dairy,1100,1203,2303,228.79200000000003,73.906,303,,,,,,73.906,303,<b>Name: </b>Double G Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>303 metric tons,—
Miller Ranch,"4874 County Road FF, Orland, CA 95963",39.78591,-122.2275,Glenn,75,Heifers (non dairy affiliated),Other,0,75,75,4.8,0.15,5,,,,,,0.15,5,<b>Name: </b>Miller Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>5 metric tons,—
Crossview Dairy,"12530 Warnerville Road, Oakdale, CA 95361",37.740062,-120.735297,Stanislaus,1575,Mature dairy cattle,Dairy,1575,1722,3297,327.558,105.819,433,,,,,,105.819,433,<b>Name: </b>Crossview Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>433 metric tons,—
George Bianchi Hansen Ranch,"2915 Pepper Road, Petaluma, CA 94952",38.268789,-122.77535,Sonoma,40,Mature dairy cattle,Dairy,40,44,84,8.335999999999999,2.244,11,,,,,,2.244,11,<b>Name: </b>George Bianchi Hansen Ranch</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>11 metric tons,—
"George Bianchi, Inc. Home Ranch","3151 Pepper Road, Petaluma, CA 94952",38.264669,-122.774169,Sonoma,486,Mature dairy cattle,Dairy,486,531,1017,101.05199999999999,27.261,128,,,,,,27.261,128,"<b>Name: </b>George Bianchi, Inc. Home Ranch</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>128 metric tons",—
Over The Moon Dairy,"9455 Second Avenue, Hanford, CA 93230",36.336261,-119.492714,Kings,278,Mature dairy cattle,Dairy,278,304,582,57.81999999999999,18.678,76,,,,,,18.678,76,<b>Name: </b>Over The Moon Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>76 metric tons,—
Gerald Spaletta Dairy,"500 Ormsby Lane, Petaluma, CA 94954",38.28555,-122.65186,Sonoma,400,Mature dairy cattle,Dairy,400,437,837,83.168,22.437,106,,,,,,22.437,106,<b>Name: </b>Gerald Spaletta Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>106 metric tons,—
Traver Cattle Ranch,"3212 Avenue 352, Traver, CA 93673",36.43289,-119.4986,Tulare,5000,Heifers (non dairy affiliated),Other,0,5000,5000,320,10,330,,,,,,10,330,<b>Name: </b>Traver Cattle Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>330 metric tons,—
East View Dairy,"10485 Avenue 352, Visalia, CA 93291",36.42883,-119.33961,Tulare,1283,Mature dairy cattle,Dairy,1283,1403,2686,266.846,86.201,353,,,,,,86.201,353,<b>Name: </b>East View Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>353 metric tons,—
Germann Bros Dairy,"1236 East Taylor Road, Ceres, CA 95307",37.53660858,-120.9764458,Stanislaus,178,Mature dairy cattle,Dairy,178,195,373,37.044,11.96,49,,,,,,11.96,49,<b>Name: </b>Germann Bros Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>49 metric tons,—
Gerrit Visser & Sons Dairy,"18565 South Marks Avenue, Riverdale, CA 93656",36.466226,-119.853827,Fresno,1150,Mature dairy cattle,Dairy,1150,1258,2408,239.212,80.71600000000001,320,,,,,,80.71600000000001,320,<b>Name: </b>Gerrit Visser & Sons Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>320 metric tons,—
Ghidinelli Dairy,"992 Pleasant Point Road, Ferndale, CA 95536",40.576286,-124.188858,Humboldt,160,Mature dairy cattle,Dairy,160,175,335,33.28,7.8549999999999995,41,,,,,,7.8549999999999995,41,<b>Name: </b>Ghidinelli Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>41 metric tons,—
F&D Giacomazzi Farms,"9624 6th Avenue, Hanford, CA 93230",36.334869,-119.565093,Kings,1000,Heifers (non dairy affiliated),Other,0,1000,1000,64,2,66,,,,,,2,66,<b>Name: </b>F&D Giacomazzi Farms</br><b>Type: </b>Other</br><b>Methane emissions: </b>66 metric tons,—
Antonio Azevedo Dairy #3,"227 West El Nido Road, El Nido, CA 95317",37.13463,-120.49616,Merced,510,Mature dairy cattle,Dairy,510,558,1068,106.092,34.266,140,,,,,,34.266,140,<b>Name: </b>Antonio Azevedo Dairy #3</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>140 metric tons,—
Gillian's Dairy,"4000 Middle Two Rock Road, Petaluma, CA 94952",38.254055,-122.7373,Sonoma,220,Mature dairy cattle,Dairy,220,241,461,45.784,12.341,58,,,,,,12.341,58,<b>Name: </b>Gillian's Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>58 metric tons,—
Robert Gioletti & Sons Dairy #2,"10218 Fulkerth Road, Ceres, CA 95307",37.50736,-120.96597,Stanislaus,500,Mature dairy cattle,Dairy,500,547,1047,104.00800000000001,33.594,138,,,,,,33.594,138,<b>Name: </b>Robert Gioletti & Sons Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>138 metric tons,—
"Gioletti, Inc. Feedlot","10007 Fulkerth Road, Ceres, CA 95307",37.50747979,-120.9634478,Stanislaus,640,Heifers (non dairy affiliated),Other,0,640,640,40.96,1.28,42,,,,,,1.28,42,"<b>Name: </b>Gioletti, Inc. Feedlot</br><b>Type: </b>Other</br><b>Methane emissions: </b>42 metric tons",—
Gist Heifer Ranch,"2299 West Oakdale, Tulare, CA 93274",36.25267,-119.37925,Tulare,400,Heifers (non dairy affiliated),Other,0,400,400,25.6,0.8,26,,,,,,0.8,26,<b>Name: </b>Gist Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>26 metric tons,—
Goedhart Dairy,"7084 County Road 31, Orland, CA 95963",39.638355,-122.12938,Glenn,1600,Mature dairy cattle,Dairy,1600,1750,3350,332.8,107.5,440,,,,,,107.5,440,<b>Name: </b>Goedhart Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>440 metric tons,—
Golden Star Cattle Ranch #2,"5978 Avenue 184, Tulare, CA 93274",36.13327,-119.4575,Tulare,18075,Calf feedlots,Other,0,18075,18075,1156.8,36.15,1193,,,,,,36.15,1193,"<b>Name: </b>Golden Star Cattle Ranch #2</br><b>Type: </b>Other</br><b>Methane emissions: </b>1,193 metric tons",—
"Gold Star Enterprises, LLC","6020 Avenue 200, Tulare, CA 93274",36.15062,-119.43823,Tulare,9788,Calf feedlots,Other,0,9788,9788,626.432,19.576,646,,,,,,19.576,646,"<b>Name: </b>Gold Star Enterprises, LLC</br><b>Type: </b>Other</br><b>Methane emissions: </b>646 metric tons",—
Gomes Dairy,"9735 Washington Road, Hilmar, CA 95324",37.42819,-120.90548,Merced,697,Mature dairy cattle,Dairy,697,762,1459,144.954,46.829,192,,,,,,46.829,192,<b>Name: </b>Gomes Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>192 metric tons,—
Joe Gomes Dairy #1 (Swanson Rd),"17265 Swanson Road, Delhi, CA 95315",37.4411,-120.79904,Merced,416,Mature dairy cattle,Dairy,416,455,871,86.528,27.118,114,,,,,,27.118,114,<b>Name: </b>Joe Gomes Dairy #1 (Swanson Rd)</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>114 metric tons,—
Goncalves Dairy,"15782 Arroya Avenue, Dos Palos, CA 93620",37.05803,-120.66925,Merced,758,Mature dairy cattle,Dairy,758,829,1587,157.66,50.928000000000004,209,,,,,,50.928000000000004,209,<b>Name: </b>Goncalves Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>209 metric tons,—
M & A Dairy,"14651 Carlucci Road, Dos Palos, CA 93620",37.071194,-120.680761,Merced,529,Mature dairy cattle,Dairy,529,579,1108,110.05799999999999,35.543,146,,,,,,35.543,146,<b>Name: </b>M & A Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>146 metric tons,—
Lerda—Goni Farms Dairy,"18797 Road 142, Tulare, CA 93274",36.13218,-119.25507,Tulare,850,Mature dairy cattle,Dairy,850,930,1780,176.82,59.66,236,,,,,,59.66,236,<b>Name: </b>Lerda—Goni Farms Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>236 metric tons,—
Gonsalves Ranch,"7601 Maze Boulevard, Modesto, CA 95358",37.6385,-121.13158,Stanislaus,900,Cattle or cow/calf pairs,Other,0,900,900,57.6,1.8,59,,,,,,1.8,59,<b>Name: </b>Gonsalves Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>59 metric tons,—
Del—Arco Dairy,"4738 Avenue 120, Corcoran, CA 93212",36.00939,-119.46729,Tulare,2400,Mature dairy cattle,Dairy,2400,2625,5025,499.2,161.25,660,,,,,,161.25,660,<b>Name: </b>Del—Arco Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>660 metric tons,—
Gorzeman Cattle (Dairy),"13804 Road 72, Tipton, CA 93272",36.03908,-119.40871,Tulare,1200,Heifers (non dairy affiliated),Other,0,1200,1200,76.8,2.4,79,,,,,,2.4,79,<b>Name: </b>Gorzeman Cattle (Dairy)</br><b>Type: </b>Other</br><b>Methane emissions: </b>79 metric tons,—
North Moon Dairy,"7325 Avenue 144, Tipton, CA 93273",36.04877,-119.40813,Tulare,792,Mature dairy cattle,Dairy,792,866,1658,164.72,53.211999999999996,218,,,,,,53.211999999999996,218,<b>Name: </b>North Moon Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>218 metric tons,—
Blue Moon Farms,"13213 Road 80, Tipton, CA 93272",36.028972,-119.39877,Tulare,1545,Mature dairy cattle,Dairy,1545,1690,3235,321.37,108.44,430,,,,,,108.44,430,<b>Name: </b>Blue Moon Farms</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>430 metric tons,—
Goyenetche Dairy #2 Ramona,"2441 Ramona Expressway, San Jacinto, CA 92582",33.823587,-117.015059,Riverside,600,Mature dairy cattle,Dairy,600,656,1256,124.78399999999999,43.912,169,,,,,,43.912,169,<b>Name: </b>Goyenetche Dairy #2 Ramona</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>169 metric tons,—
Panama Ranch Dairy,"6219 East Panama Lane, Bakersfield, CA 93307",35.295503,-118.933731,Kern,902,Mature dairy cattle,Dairy,902,986,1888,187.57999999999998,68.72,256,,,,,,68.72,256,<b>Name: </b>Panama Ranch Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>256 metric tons,—
G3 Dairy,"5829 East Panama Lane, Bakersfield, CA 93307",35.294978,-118.939091,Kern,2370,Mature dairy cattle,Dairy,2370,2592,4962,492.948,180.564,674,,,,,,180.564,674,<b>Name: </b>G3 Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>674 metric tons,—
Albert Goyenetche Dairy #2,"32100 Ramona Expressway, Lakeview, CA 92567",33.839776,-117.108357,Riverside,999,Mature dairy cattle,Dairy,999,1093,2092,207.814,73.11500000000001,281,,,,,,73.11500000000001,281,<b>Name: </b>Albert Goyenetche Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>281 metric tons,—
Green Valley Dairy,"2685 South Madera Avenue, Kerman, CA 93630",36.69576111,-120.0611586,Fresno,1912,Mature dairy cattle,Dairy,1912,2091,4003,397.68,103.42699999999999,501,,,,,,103.42699999999999,501,<b>Name: </b>Green Valley Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>501 metric tons,—
Silva Brothers Dairy #3,"5601 Escalon-Bellota Road, Farmington, CA 95230",37.91728,-121.00247,San Joaquin,550,Mature dairy cattle,Dairy,550,601,1151,114.364,36.952,151,,,,,,36.952,151,<b>Name: </b>Silva Brothers Dairy #3</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>151 metric tons,—
LEGENDAIRY FARMS DAIRY,"14685 Road 96, Tipton, CA 93272",36.05671,-119.3599,Tulare,1554,Mature dairy cattle,Dairy,1554,1699,3253,323.188,109.07,432,,,,,,109.07,432,<b>Name: </b>LEGENDAIRY FARMS DAIRY</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>432 metric tons,—
"Modesto Livestock Commission Co, Inc.","1107 South Seventh Street, Modesto, CA 95354",37.63951,-121.00476,Stanislaus,580,Finishing Yards/Auction Yards,Other,0,580,580,37.12,1.16,38,,,,,,1.16,38,"<b>Name: </b>Modesto Livestock Commission Co, Inc.</br><b>Type: </b>Other</br><b>Methane emissions: </b>38 metric tons",—
Grimmius Cattle Company — East Ranch,"15605 Ave 208, Strathmore, CA 93267",36.161775,-119.2225,Tulare,108329,Calf feedlots,Other,0,108329,108329,6933.056,216.658,7150,,,,,,216.658,7150,"<b>Name: </b>Grimmius Cattle Company — East Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>7,150 metric tons",—
Grimmius Cattle Company,"5715 Kansas Avenue, Hanford, CA 93230",36.20293,-119.56007,Kings,90185,Calf feedlots,Other,0,90185,90185,5771.84,180.37,5952,,,,,,180.37,5952,"<b>Name: </b>Grimmius Cattle Company</br><b>Type: </b>Other</br><b>Methane emissions: </b>5,952 metric tons",—
Grimmius Cattle Company — West Ranch,"26020 Omaha Avenue, Kettleman City, CA 93230",36.10632,-119.93471,Kings,3751,Calf feedlots,Other,0,3751,3751,240.064,7.502,248,,,,,,7.502,248,<b>Name: </b>Grimmius Cattle Company — West Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>248 metric tons,—
Grizzly Bluff Holsteins,"6307 Grizzly Bluff Road, Ferndale, CA 95536",40.556665,-124.167604,Humboldt,275,Mature dairy cattle,Dairy,275,301,576,57.214,13.501,71,,,,,,13.501,71,<b>Name: </b>Grizzly Bluff Holsteins</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>71 metric tons,—
Performance Cattle Co.,"8840 East Monte Vista Avenue, Denair, CA 95316",37.519,-120.75005,Stanislaus,5022,Calf feedlots,Other,0,5022,5022,321.408,10.044,331,,,,,,10.044,331,<b>Name: </b>Performance Cattle Co.</br><b>Type: </b>Other</br><b>Methane emissions: </b>331 metric tons,—
Guess Cattle,"14498 Avenue 208, Tulare, CA 93274",36.17098,-119.24887,Tulare,10000,Calf feedlots,Other,0,10000,10000,640,20,660,,,,,,20,660,<b>Name: </b>Guess Cattle</br><b>Type: </b>Other</br><b>Methane emissions: </b>660 metric tons,—
Guess Cattle,"24487 Rd 140, Tulare, CA 93274",36.23379,-119.26872,Tulare,1270,Cattle or cow/calf pairs,Other,0,1270,1270,81.28,2.54,84,,,,,,2.54,84,<b>Name: </b>Guess Cattle</br><b>Type: </b>Other</br><b>Methane emissions: </b>84 metric tons,—
Double G Dairy,"8118 Sikes Road, Dixon, CA 95620",38.4633,-121.74431,Solano,1084,Mature dairy cattle,Dairy,1084,1185,2269,225.43200000000002,72.83,298,,,,,,72.83,298,<b>Name: </b>Double G Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>298 metric tons,—
Frank Gwerder Dairy,"1007 South Hart Road, Modesto, CA 95351",37.62765884,-121.1221541,Stanislaus,860,Mature dairy cattle,Dairy,860,941,1801,178.904,57.782,237,,,,,,57.782,237,<b>Name: </b>Frank Gwerder Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>237 metric tons,—
Eleanor Ranch,"5954 Eleanor Road, Oakdale, CA 95361",37.725,-120.90628,Stanislaus,2600,Heifers (non dairy affiliated),Other,0,2600,2600,166.4,5.2,172,,,,,,5.2,172,<b>Name: </b>Eleanor Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>172 metric tons,—
Broken Box Ranch,"3168 Delphos Road, Williams, CA 95987",39.17466,-122.15434,Colusa,1510,Cattle or cow/calf pairs,Other,0,1510,1510,96.64,3.02,100,,,,,,3.02,100,<b>Name: </b>Broken Box Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>100 metric tons,—
Tierra Buena Heifer Ranch,"8661 North Winton Way, Winton, CA 95388",37.41356,-120.61509,Merced,750,Heifers (non dairy affiliated),Other,0,750,750,48,1.5,50,,,,,,1.5,50,<b>Name: </b>Tierra Buena Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>50 metric tons,—
