facility_name,type,mitigation,adjusted_total_methane
Cartmill Ranch Feedlot,Other,—,30
Cow Cents Feedlot,Other,—,29
Lepori Dairy,Dairy,—,29
JS Moreda Dairy,Dairy,—,29
Diamond R Ranch,Dairy,—,28
Double B Feedlot #1,Other,—,28
Den—K Holsteins Dairy,Dairy,—,27
Bento Dairy,Dairy,—,27
Kevin Ranch,Other,—,26
Ferreira Dairy,Dairy,—,26
Gist Heifer Ranch,Other,—,26
Jones Family Dairy,Dairy,—,26
Nicholson Dairy,Dairy,—,26
Nunes & Sons Dairy #2,Other,—,26
Todd Stegall Bull Development Facility,Other,—,26
White Ranch (Island Heifers),Other,—,26
Vander Meulen Dairy,Other,—,26
Silveira Jerstein Dairy,Dairy,—,25
Delta View #2,Other,—,25
CR Griffith Dairy,Dairy,—,25
CSU Chico Dairy Facility,Dairy,—,25
Creek Dairy,Dairy,—,25
Triple D Dairy & Farming Feedlot,Other,—,25
Cactus Ranch,Other,—,25
AJF Heifer Ranch,Other,—,25
Nunes & Sons Feedlot,Other,—,25
Silva Family Dairy,Dairy,—,25
JOE V. CARDOZA TRUST DAIRY,Other,—,23
JL6,Other,—,23
Serafin Feedlot,Other,—,23
"Bianchini Inc., Bivalve Dairy",Dairy,Manure management,22
Adams Dairy,Dairy,—,22
Herman De Jong Dairy,Dairy,—,22
Hillside Farms,Dairy,—,22
Roy King Dairy,Dairy,—,22
MHF Dairy,Dairy,—,22
Mellema West Dairy,Other,—,22
Palmer Westbrook Dairy,Dairy,—,22
Riverside Ranch (Boynton Dairy),Dairy,—,22
Tom Rayl Dairy,Dairy,—,22
Bay Meadow Farms,Dairy,—,21
Tulare Joint Union High School Dairy,Dairy,—,21
Airoso Dairy,Other,—,20
Oostdam Dairy Heifer Ranch,Other,—,20
"Tony Borba Dairy, Inc.",Other,—,20
George Borba & Son Dairy,Other,—,20
Northview Heifer Ranch,Other,—,20
SD Farms II—2,Other,—,20
Haringa Farms Heifer Ranch,Other,—,20
Martins View Heifer Ranch,Other,—,20
Meneses Heifer Ranch,Other,—,20
Rollin Heifer Feedlot,Other,—,20
JM Dairy / Machado Sisters Feed Lot,Other,—,20
Uptite Feedlot,Other,—,20
Faustino A Diaz,Other,—,19
Henry A Garcia Feedlot,Other,—,19
Darren & Karen Hansen Dairy,Dairy,—,19
Pedrotti Dairy (Donald A. Pedrotti),Dairy,—,19
Reas Creek Dairy,Dairy,—,19
Rose Trust,Other,—,19
Barrera Feedlot,Other,—,18
Double D Taylor,Other,—,18
Liquid Gold Dairy,Dairy,—,18
Campbell Heifer Facility,Other,—,18
Dykstra Heifer Ranch,Other,—,18
Mattos Brothers Dairy #3,Other,—,18
Dicks Heifer Feedlot,Other,—,18
Verissimo Facility,Dairy,—,18
F&S Brasil Dairy #3,Other,—,18
OK Cattle — Eucalyptus,Other,—,18
Vernon Ranch,Other,—,17
Furtado Farms Inc.,Other,—,17
Jose Nuno,Other,—,17
Ornellas Dairy #3,Dairy,—,17
Manuel Avila Dairy,Other,—,16
Brichetto Cattle Company,Other,—,16
Mandala (H—2),Other,—,16
Hacienda Feedlot,Other,—,16
Sierra Blanca Ranch #2,Other,—,16
Martella Livestock Market,Other,—,16
Sinks,Other,—,16
U—BAR Dairy,Other,—,16
Duarte Family Dairy Inc.,Other,—,15
John Lorenzo Dairy,Other,—,15
Dream Dairy Heifer Ranch,Other,—,15
Jose Avila,Other,—,14
Prins Heifer Facility,Other,—,14
Todd Ventura,Other,—,14
"3R Land and Development, LLC feedlot",Other,—,13
Monte Vista Feedlot,Other,—,13
Maria Borges Farms,Other,—,13
Carinalli Dairy,Dairy,—,13
Duivenvoorden Farms,Dairy,—,13
Sierra Ranches,Other,—,13
15th Avenue Feedlot,Other,—,13
Lemos Jerseys,Other,—,13
Mr Dairy,Other,—,13
Hoffman Dairy,Other,—,11
Correia Heifer Ranch,Other,—,11
George Bianchi Hansen Ranch,Dairy,—,11
Pimentel Heifer Ranch,Other,—,11
Nunes Farms,Other,—,11
Souza Heifer Ranch,Other,—,11
Da Silva Dairy Farms LLC Heifer Ranch,Other,Manure management,10
Boys Republic Farm,Other,—,10
DeMelo Dairy,Other,—,10
B & D Dairy,Other,—,10
Vieira Livestock,Dairy,—,10
Vierra Heifer Ranch (Dairy),Other,—,10
Den—K Heifer Corrals,Other,—,9
Carl Vieira Heifer Feedlot,Other,—,9
"19820 King Road, Red Bluff",Other,—,9
Dina Simas Property,Other,—,9
Machado & Sons Dairy,Other,—,9
Frank Rocha Heifer Facility,Other,—,9
Walts Farming,Other,—,9
Rita Vieira—Heifer Ranch,Other,—,9
Coupe Ranch,Other,—,9
Couto Dairy #2,Other,—,8
Double R Ranch,Other,—,8
Brennan Heifer Ranch,Other,—,8
Manuel Vieira Jr Dairy,Other,—,8
Aguiar & Bento Dairy,Other,—,7
Joe Matos Cheese Factory,Dairy,—,7
Martin Dairy,Other,—,7
Robert Martins Cattle,Other,—,7
"Androgenics, Inc",Other,—,7
RP Feedlot,Other,—,7
Omlin Heifer Ranch,Other,—,7
Sweeney Dairy,Other,—,7
Bar 20 Dairy Ranch #1,Other,—,7
Vogt's Holstein Dairies #2,Other,—,7
Elmo and Elise Poncetta Trust feedlot,Other,—,6
John Ullrich Dairy Cattle,Other,—,6
Grant Amen Feedlot,Other,—,5
Borges Farms,Other,—,5
John Correia Cattle,Other,—,5
Miller Ranch,Other,—,5
Nature's Clover Dairy,Other,—,5
Gary and Heather Pratton Feedlot,Other,—,5
Rodoni Pioneer Feedlot,Other,—,5
Walt's Farming,Other,—,5
Illinois Feedlot,Other,—,4
Veenendaal Angus,Other,—,4
Valov Brothers Farm LP,Other,—,4
Stornetta Ranch #2,Dairy,—,4
"Van Ommering Dairy, L.P. (Dairy)",Other,—,4
M & M Carvalho Trust Ranch,Other,—,3
2407 S Blaker Road Facility,Other,—,3
JM Dairy Feed Lot,Other,—,3
Frank Mendonca Heifer Ranch,Other,—,3
Marshall Ranch,Other,—,3
Jose Rodrigues Feedlot,Other,—,3
Vierra Heifer Feedlot,Other,—,3
Tillema Cattle Company,Other,—,3
Toste Ranch,Other,—,3
Martin Bangma Dairy,Other,—,2
TRB Ranch,Other,—,2
Bettencourt Ranch,Other,—,2
Coderview Holsteins Dairy,Other,—,2
Jersey Avenue Feedlot,Other,—,2
Manuel Mendonca Trustee,Other,—,2
Jason & Julie Starr,Other,—,1
John Jorge Dairy,Other,—,1
Pepper Dairy,Dairy,—,1
Lucio Corral Cattle,Other,—,1
Escalon Livestock Market,Other,—,1
Karen Marsh Ranch,Other,—,1
APN 004—280—075 Feedlot,Other,—,1
Morris Jersey Girls Dairy,Other,—,1
Banos Royal Farms Feedlot,Other,—,1
Terra Dairy,Other,—,1
Brichetto Brothers,Other,—,0
O'Banion Ranches,Dairy,—,0
