facility_name,facility_address,project_id_number,reporting_cycle_name,agency_name,program_name,program_description,sub_program_name,record_type,project_name,project_type,project_description,census_tract,project_address,senate_district,assembly_district,project_county,total_project_cost,total_program_ggrf_funding,project_life_years,total_project_ghg_reductions,date_operational,project_completion_date,funding_recipient,annual_project_ghg_reductions
De Wit Dairy,"6610 East Collier Road, Acampo, CA 95220",18-0469-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Dewit Dairy Inc.,Flush-to-Scrape and Open Solar Drying,Proposal to vacuum scrape manure from the existing flush lanes for part of the year and continue to flush for the remainder of the year.  The vacuumed manure will be dried on a new concrete slab.  This will prevent a significant amount of the manure that currently goes to the lagoon from ever reaching the lagoon and forming methane.,,"6610 Collier Rd E, Acampo, CA 95220",05,09,San Joaquin,716715,673115,5,11506,2019-05-31,2019-05-31,-,2301.2
Silveira Dairy,"11277 Avenue 21 1/2, Chowchilla, CA 93610",18-0450-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Silveira Dairy,Solid Separation and Composting,"Installing a curved and sloped screen mechanical separator with reception pit, along with a concrete pad for passive manure composting with anticipation of significantly improving existing waste handling system to reduce greenhouse gases.",,"11277 Ave 21 1/2, Chowchilla, CA 93610",14,27,Madera,453920,447420,5,7788,2019-04-22,2019-04-22,-,1557.6
Westwood Farms LLC (Dairy),"6194 Avenue 228, Tulare, CA 93274",19-0946-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,WestWood Farms LLC,Compost Bedded Pack Barn,"The proposed project at Westwood Farms is to convert a portion of the western corrals to compost bedded pack barns, capable of housing milking Holsteins that will be moved from the flushed free stall barn. Moving this portion of the herd into the proposed management system will reduce the amount of manure going to the settling pond and anaerobic conditions by 48%.",,"6194 Avenue 228, Tulare, CA 93274",16,33,Tulare,1058201,749698,5,20422,2020-10-31,2020-10-31,-,4084.4
GM Silva Dairies #2,"20316 West Crane Avenue, Hilmar, CA 95324",18-0471-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,"GM Silva Dairies, GP (#2)",Solid Separation and Composting,"Proposal to install a two-stage separator, receiving pit and compost drying slab on existing dairy facility. Proposal outcome is to reduce GHG emissions and implement better manure management practices and ease of export through composting to reduce anaerobic conditions.",,"20316 Crane Ave, Hilmar, CA 95324",04,22,Merced,691959,666959,5,3987,2019-06-30,2019-06-30,-,797.4
Double B Dairy,"5817 East Worden Avenue, Merced, CA 95340",18-0453-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Double B Dairy,Solid Separation and Open Solar Drying,Proposing a solid manure separator on an existing flush dairy to remove some of the manure solids from the flush water before the lagoon.,,"5817 Worden Ave, Merced, CA 95341",14,27,Merced,674957,635224,5,6186,2019-10-31,2019-10-31,-,1237.2
Andrew Zylstra Dairy Inc. #1,"2655 West Monte Vista Avenue, Modesto, CA 95351",18-0462-000-AM,2019 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Andrew Zylstra Dairy Inc,Solid Separation and Solid Storage,"Installation of a sloped screen separator to be used every day to match the use of the flush system. Solids will be used as compost, fertlizer and/or bedding for cows.",,"2655 W Monte Vista Ave, Modesto, CA 95358",04,22,Stanislaus,280497,270497,5,6156,2020-08-31,2020-08-31,-,1231.2
Albert Mendes Dairy,"1100 Ruble Road, Crows Landing, CA 95313",20-1028-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Albert Mendes Dairy - AAFK Central Dairy Digester Cluster,WASTE DIVERSION AND UTILIZATION,"The Aemetis Biogas project team will install a covered lagoon digester at the project site. When complete, the proposed digester will produce biogas, which after being processed to remove hydrogen sulfide, will be conveyed via private pipeline to the Aemetis Advanced Fuels Keyes facility. There, Aemetis will further upgrade the biogas to pipeline-quality, negative-carbon-intensity renewable natural gas suitable for use as transportation fuel. Aemetis will sell a portion of the RNG to local fleets via its onsite RNG fueling station and will direct the remainder to sale to larger fleets such as UPS, PepsiCo, LA Metro, and Toyota via the Pacific Gas & Electric (PG&E) pipeline, or for use as energy at AAFK to produce renewable ethanol, thus replacing carbon-based natural gas.",,"1100 Ruble Road, Crows Landing, CA 95313",04,22,Stanislaus,3123994,1388240,10,99372,2023-01-31,2023-01-31,-,9937.2
S & S Dairy Inc,"348 East Monte Vista Road, Ceres, CA 95307",20-1025-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,S&S Dairy - AAFK Central Dairy Digester Cluster,WASTE DIVERSION AND UTILIZATION,"The Aemetis Biogas project team will install a covered lagoon digester at the project site. When complete, the proposed digester will produce biogas, which after being processed to remove hydrogen sulfide, will be conveyed via private pipeline to the Aemetis Advanced Fuels Keyes facility. There, Aemetis will further upgrade the biogas to pipeline-quality, negative-carbon-intensity renewable natural gas suitable for use as transportation fuel. Aemetis will sell a portion of the RNG to local fleets via its onsite RNG fueling station and will direct the remainder to sale to larger fleets such as UPS, PepsiCo, LA Metro, and Toyota via the Pacific Gas & Electric (PG&E) pipeline, or for use as energy at AAFK to produce renewable ethanol, thus replacing carbon-based natural gas.",,"348 E. Monte Vista Avenue, Ceres, CA  95307",04,22,Stanislaus,3260359,1271395,10,90946,2023-01-31,2023-01-31,-,9094.6
SBS AG Dairy,"7123 Avenue 204, Tulare, CA 93274",18-0448-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,SBS AG,Solid Separation and Open Solar Drying,Change of Waste Water Handling and Solid Collection Management for the reduction of GHG produced. Converting from Settling Ponds to Processing pit and Separating System to capture volatile solids before the lagoons.,,"7123 Ave 204, Tulare, CA 93274",16,33,Tulare,400904,385404,5,7887,2019-06-30,2019-06-30,-,1577.4
Nyman Brothers Dairy,"20445 August Avenue, Hilmar, CA 95324",19-0851-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Nyman Brothers Dairy Biogas,New Dairy Digester,"Nyman Brothers Dairy is part of the new Hilmar dairy biogas to fuel cluster in Merced County, CA.  The dairy will install a Tier 1 designed manure only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading and interconnection facility.   Biomethane, meeting PG&E specifications, will be injected into the nearby point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"20445 August Ave, Hilmar, CA 95324",04,22,Merced,5341908,687006,10,68026,2021-11-30,2021-11-30,-,6802.6
Lawrence Family Farms Dairy,"14760 Avenue 208, Tulare, CA 93274",19-0903-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Creekside Dairy,Solid Separation with Open Solar Drying,"Installation of a ValMetal US Farms Systems double curved/sloped screen stationary mechanical separator with incline screw press and swing stacking belt conveyor.  As well as concrete pad for open solar drying and purchase of a John Deere tractor and Loewen Model 3750 HoneyVac.  These practices will allow us to convey flush water from our mature animals (milking and dry cows) housing lanes, through our existing processing pit and then through the proposed separator system, and reduce an estimated 59.7% solids from the waste stream.  We also propose to terminate flushing activities in the support stock lanes and utilize the tractor and honey vac to scrape and vacuum the manure from those lanes and transport them to the open solar drying pad, reducing these solids by 100% from entering our storage system.",,"14760 Avenue 208, Tulare, CA 93274",16,33,Tulare,611642,611642,5,9150,2020-08-31,2020-08-31,-,1830
Legacy Holsteins,"13510 Road 72, Tipton, CA 93272",18-0370-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Sousa & Sousa Dairy Digester Pipeline Project,new dairy digester,"Sousa and Sousa Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Tulare County, California. The project is a part of the Calgren Dairy Fuels Cluster, developed by Maas Energy Works. The Calgren Dairy Fuels Cluster has already laid four miles of pipeline and begun construction of three digesters awarded CDFA funds in late 2017--scheduled to provide the state's first pipeline diary biogas fuel by June of 2018. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near the Calgren ethanol refinery. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"13510 Rd 72, Tipton, CA 93272",16,33,Tulare,1773868,886934,10,68700,2019-12-01,2019-12-01,-,6870
Joe Oliveira Dairy,"19104 Crane Avenue, Hilmar, CA 95324",20-1023-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Oliveira Dairy - AAFK Central Dairy Digester Cluster,WASTE DIVERSION AND UTILIZATION,"The Aemetis Biogas project team will install a covered lagoon digester at the project site. When complete, the proposed digester will produce biogas, which after being processed to remove hydrogen sulfide, will be conveyed via private pipeline to the Aemetis Advanced Fuels Keyes facility. There, Aemetis will further upgrade the biogas to pipeline-quality, negative-carbon-intensity renewable natural gas suitable for use as transportation fuel. Aemetis will sell a portion of the RNG to local fleets via its onsite RNG fueling station and will direct the remainder to sale to larger fleets such as UPS, PepsiCo, LA Metro, and Toyota via the Pacific Gas & Electric (PG&E) pipeline, or for use as energy at AAFK to produce renewable ethanol, thus replacing carbon-based natural gas.",,"19104 Crane Ave., Hilmar, CA  95324",04,22,Merced,3160136,1056977,10,80857,2023-01-31,2023-01-31,-,8085.7
Manuel Oliviera Dairy,"4235 Oak Avenue, Merced, CA 95340",18-0475-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Manuel Oliveira,Solid Separation and Open Solar Drying,Installation of a US Farm Systems Sloped screen separator with incline screw press and swing stacking belt conveyor with concrete pad for open solar drying.,,"4235 Oak Ave, Merced, CA 95341",14,27,Merced,646305,646305,5,5793,2019-09-30,2019-09-30,-,1158.6
Brasil's Udder Dairy,"28723 Road 56, Visalia, CA 93277",18-0388-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Udder Dairy Biogas,new dairy digester,"The Udder Dairy Biogas Project is a new covered lagoon digester processing manure in Tulare County, California. This project is part of the West Visalia Cluster, developed by California Bioenergy LLC. The Udder Dairy proposes to build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution. Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"28723 Road 56 , Visalia , CA  93277",12,33,Tulare,3202804,1153459,10,135706,2020-09-30,2020-09-30,-,13570.6
Machado Farms Dairy,"20400 Avenue 17  1/2, Madera, CA 93637",19-0935-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Machado Farms,Compost Bedded Pack Barn,"The proposed project at Machado Farms is the construction of two compost bedded pack barns to house milking cows, relocated from the two free stall barns on site. The operator also wishes to have two barns so that a variety of housing densities studies can be completed on site; this allows the producer to determine what is the optimum density to house his animals, and plan the construction of the barns for his remaining herd.",,"20400 Avenue 17 1/2, Madera, CA 93637",14,27,Madera,1081024,749829,5,12315,2020-12-31,2020-12-31,-,2463
Correia Family Dairy,"26380 West Fahey Road, Gustine, CA 95322",17-0660-000-AM,2018 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Correia Family Dairy Farms,"Solid Separation (Weeping Wall);
Composting",Weeping wall,,"26380 Fahey Road
Gustine, CA 95322",14,27,Merced,352814,352814,5,20996,2019-05-20,2019-05-20,-,4199.2
Postma Dairy #1,"3700 Claus Road, Modesto, CA 95357",18-0468-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Willem Postma Dairy,Solid Separation and Open Solar Drying,Installing a multi stage manure separation system consisting of a new sloped screen separator and a LWR First Wave manure processing system. The combined systems along with the injected polymers will remove 90% of the total soluble solids and fibrous material from the wastewater prior to its discharge to the lagoon system. All removed material will be processed by presses to de-water and create nutrient cake.,,"3700 Claus Rd, Modesto, CA 95357",04,09,Stanislaus,884112,531268,5,20113,2019-12-31,2019-12-31,-,4022.6
Silva Brothers Dairy,"12997 East Peltier Road, Acampo, CA 95220",19-0925-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Silva Brothers Dairy,Solid Separation with Open Solar Drying,Silva Brothers Dairy is proposing to install a Mechanical Separator through the AMMP Grant Program as means to reduce methane emissions on the dairy facility. The dairy is proposing to install a US Farms Systems dual screen separator with a goal of removing 55%of the solids from the waste stream. A concrete sand trap and processing pit is also proposed as part of the project.,,"12997 E. Peltier Road, Acampo, CA 95220",05,09,San Joaquin,776801,746801,5,5002,2020-10-31,2020-10-31,-,1000.4
Art Silva Dairy,"5201 Milnes Road, Modesto, CA 95357",18-0470-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Art Silva Dairy,Solid Separation and Composting,"A Two-Stage liquid/solid manure separator with composting in windrows on a concrete slab will be installed to provide several benefits:  reduction of greenhouse gases and odor, removal of excess nutrients from irrigation/application water, production of dry manure solids that can be readily composted, dried,spread or sold as fertilizer or reused as bedding for cows, and provide a system built with durable, high quality materials that will perform for many years with minimal maintenance.",,"5201 Milnes Rd, Modesto, CA 95357",04,09,Stanislaus,505521,405521,5,2797,2019-10-31,2019-10-31,-,559.4
Joe and Pauline Meirinho Dairy,"3354 West Whitmore Avenue, Modesto, CA 95358",18-0463-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Joe Meirinho & Sons Dairy LP,Solid Separation and Open Solar Drying,Installing a sloped screen separator and de-watering screw press to process flushed manure that is currently discharged into an anaerobic separating pond. Green house gas reductions will be achieved by reducing the amount of organic material entering anaerobic conditions. Separated manure solids will then be automatically stacked to solar dry and be protected from re-wetting.,,"3354 W Whitmore Ave, Modesto, CA 95358",04,22,Stanislaus,244384,244384,5,4898,2019-04-22,2019-04-22,-,979.6
Alfred Soares Dairy,"21282 Road 6, Chowchilla, CA 93610",19-0908-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Alfred Soares Dairy,Solid Separation with Composting,"Installation of a VALMetal US Farms System curved and sloped screen mechanical separator with incline screw press and swing stacking conveyor, along with concrete processing pit for more efficient flushing activities and a concrete pad for manure composting.",,"21282 Road 6, Chowchilla, CA 93610",14,27,Madera,886593,750000,5,5522,2021-12-31,2021-12-31,-,1104.4
Silva's Holsteins,"6706 Elaine Road, Turlock, CA 95380",19-0939-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Silva's Holstein Dairy,Solid Separation with Open Solar Drying; Flush-to-Scrape,"Silva Holstein Dairy will install a double curved/sloped screen separator system from ValMetal US Farms Systems and processing pit as an upgrade to the existing system which has reached the end of its lifespan. Also proposed, is a concrete manure pad for open solar drying and a Nuhn Alley Vac and scraper to skid steer attachment to allow for flush to scrape conversion of support stock flushing lanes. This will collect 100% of the manure generated in those areas and allow for open solar drying to eventual composting.",,"6706 Elaine Road, Turlock, CA 95380",04,22,Stanislaus,667576,667576,5,14880,2020-10-31,2020-10-31,-,2976
Henry A. Garcia Dairy,"12521 Avenue 200, Tulare, CA 93274",18-0447-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Henry A Garcia Dairy,"Flush-to-Scrape, Solid Separation and Open Solar Drying","Converting flush lanes to a vacuum scrape system utilizing a Loewen Honey Vac. Collected manure will be deposited in a newly constructed concrete bunker, processed through a de-watering screw press and then receiving a second treatment through the existing sloped screen separator. Separated solids will then be spread on a concrete solar drying pad for final drying and stock piled and covered to prevent re-watering. By reducing the organic matter entering the lagoon system greenhouse gas emissions will be reduced by 79% annually.",,"12521 Ave 200, Tulare, CA 93274",16,33,Tulare,545901,545901,5,25720,2019-05-31,2019-05-31,-,5144
Evaristo Vaz Dairy,"21876 West Sunset Avenue, Los Banos, CA 93635",19-0933-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Vaz Dairy,Compost Bedded Pack Barn,"Vaz Dairy proposes to construct a compost bedded pack barn and switch some lanes from flush to scrape to reduce the amount of manure sent to the anaerobic manure storage lagoon, thereby reducing the Dairy's overall methane production from manure.",,"21876 W. Sunset Avenue, Los Banos, CA 93635",14,27,Merced,750405,740053,5,5407,2020-11-15,2020-11-15,-,1081.4
Tripalm Dairy,"2429 Idaho Avenue, Hanford, CA 93230",19-0943-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Tri Palm Dairy,Compost Bedded Pack Barn,"The proposed project at Tri Palm Dairy is to convert a portion of the western corrals to compost bedded pack barns, capable of housing milking Holsteins that will be moved from the flushed open lots.",,"2429 Idaho Avenue, Hanford, CA 93230",16,33,Tulare,749894,749894,5,4545,2020-12-31,2020-12-31,-,909
Cal-Denier Dairy LLC,"10715 Arno Road, Galt, CA 95632",17-0667-000-AM,2018 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Cal-Denier Dairy LLC,"Flush-to-Scrape; 
Compost Bedded Pack Barn","This project will convert current Dry Cow and Heifer pens for approximately 580 head to covered compost bedded packs. The flush lanes will become dry scraped with the collected manure deposited into intensively composted windrows. There will be two compost barns constructed of approximately 76,000 sq. ft. and 15,750 sq. ft. By this conversion, manure which is currently being deposited into an anaerobic lagoon without any separation will be composted either by moving to intensive windrows or within the bedded packs themselves.",,"10715 Arno Road
Galt, CA 95632",06,09,Sacramento,711627,711627,5,2113,2019-07-31,2019-07-31,-,422.6
Manuel Da Silva Dairy,"15836 Steingul Road, Escalon, CA 95320",17-0666-000-AM,2018 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Manuel Da Silva,"Solid Separation (Weeping Wall);
Composting",Project is a weeping wall. This structure will be a manure separator. It will be a separate and store manure.,,"15836 Steingul Road
Escalon, CA 95320",05,09,San Joaquin,575000,575000,5,16605,2019-09-30,2019-09-30,-,3321
Jordao Dairy,"6025 South Central Avenue, Turlock, CA 95380",19-0916-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Jordao Dairy,Solid Separation with Composting,"Installation of a Houle 2 Stage Manure Separator with roller press, processing pit, concrete pad for composting activities, and upgrading sand pit with the purchase of a side dump trailer to facilitate the composting activities.",,"6025 S Central Ave, Turlock, CA 95380",04,22,Stanislaus,791951,750000,5,4707,2020-10-31,2020-10-31,-,941.4
Renati Dairy,"5950 Carroll Road, Petaluma, CA 94952",19-0938-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Renati Dairy,Solid Separation with Composting,"Renati Dairy proposes to connect three scraped free stall barns to an existing solid separator. The scrape lane will be extended and a cross gutter, with gutter scrapper, installed to move manure to the separator.",,"5950 Carroll Rd., Petaluma, CA 94952",02,12,Sonoma,775000,750000,5,2548,2021-05-31,2021-05-31,-,509.6
N & C Silveira Dairy,"6025 Hultberg Road, Turlock, CA 95380",20-1054-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,N & C Silveira Dairy,Solid Separation; Composting,"The proposed project is to install a Houle two stage separator with roller press for extra solids/liquid removal, along with a processing pit, and concrete manure pad for composting activities.",,"6025 Hultberg Rd, Turlock, CA 95380",04,22,"Merced, Stanislaus",770841,749841,5,5298,2021-12-31,2021-12-31,-,1059.6
Art Silva Dairy #2,"3701 Langworth Road, Modesto, CA 95357",19-0915-000-SO,2020,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Mechanical Separator and Concrete Slab for KB Dairy,Solid Separation with Open Solar Drying,This project includes the installation of a mechanical separation system along with a stacking pad. The system will separate liquid from scraped solids at a 50-60% efficiency rate. Solids will be separated from the waste water with moisture further removed using a screw press in the separation process. A small stacking pad will be located next to the separator. Manure solids will be shuttled every few days from that pad to a larger manure stacking/storage/drying pad located west of the separator on the other side of the wastewater lagoon. The wastewater collected by the mechanical separator will be directed back to a lagoon where it will be held until used as a crop nutrient source on fields located in the land application area.,,"3701 Langworth Rd, Modesto, CA 95357",04,09,Stanislaus,678156,613156,5,15732,2021-01-15,2021-01-15,-,3146.4
